,user_id,trajets,billettique_type,billettique_end_date,billettique_tickets_left,centres d'intérêts,lieux favoris,km de marche dans les 90 derniers jours,PMR,intérêt événements,it_associée
10,11,"[['Trocadéro', 'Hôtel de Ville', 'Bus 72', '13:00'], ['Créteil', 'Bastille', 'Métro 8', '12:30']]",Navigo Semaine,2024-11-25,,"['Lecture', 'Musique']","[[48.83879749156181, 2.3262902535517545], [48.833499061521906, 2.3480577270327103]]",89.35782932268192,False,4,[]
11,12,"[['Hôtel de Ville', 'Parc de Saint-Cloud', 'Bus 72', '15:30'], ['Bastille', 'Gare du Nord', 'Métro 5', '22:30']]",Ticket t+,,0.0,"['Sport', 'Technologie et gadgets']","[[48.86649394485144, 2.3648082592679907], [48.84170460989149, 2.3505368140576794]]",142.75533417596765,False,3,[]
12,13,"[['Charles de Gaulle - Étoile', 'Porte Dauphine', 'Métro 2', '7:30'], ['Charles de Gaulle - Étoile', 'Anvers', 'Métro 2', '14:00']]",Navigo Semaine,2024-11-25,,"['Musique', 'Cinéma']","[[48.81801864056774, 2.26484405089147], [48.83668372747336, 2.2706429462498283]]",105.31093395585978,False,3,[]
13,14,"[['Luxembourg', 'Gare du Nord', 'Bus 38', '20:30'], [""Gare d'Austerlitz"", 'Odéon', 'Métro 10', '12:00']]",Navigo Mois,2024-12-01,,"['Jeux vidéo', 'Art et artisanat']","[[48.88509175850167, 2.325102940110694], [48.811932922484516, 2.2545660222894957]]",148.41567609118496,False,3,[]
14,15,"[['Trocadéro', 'Nation', 'Métro 6', '9:30'], ['République', 'Pont de Levallois', 'Métro 3', '22:30']]",Navigo Semaine,2024-11-25,,"['Voyages', 'Musique']","[[48.89423860345912, 2.4192595928695617], [48.8659815381279, 2.3193912566785775]]",94.25092534517198,False,2,[]
15,16,"[['Boulogne', 'La Motte-Picquet', 'Métro 10', '8:30'], ['Villejuif', ""Place d'Italie"", 'Métro 7', '7:30']]",Navigo Semaine,2024-11-25,,"['Cuisine', 'Voyages']","[[48.892196974245785, 2.308818756563051], [48.88863472415166, 2.2902365860273344]]",124.03062559401238,False,5,[]
16,17,"[['Charles de Gaulle - Étoile', 'Montparnasse', 'Métro 6', '14:00'], ['Gare du Nord', 'Châtelet', 'Bus 38', '15:00']]",Navigo Semaine,2024-11-25,,"['Musique', 'Voyages']","[[48.87758115726483, 2.324119363933062], [48.854231047470755, 2.4006601806882193]]",74.26381320913785,False,4,[]
17,18,"[['Boulogne', 'Odéon', 'Métro 10', '7:30'], ['Balard', 'Bastille', 'Métro 8', '12:00']]",Navigo Semaine,2024-11-25,,"['Musique', 'Sport']","[[48.857724981793076, 2.358687489276662], [48.83120740548861, 2.2928372275160145]]",104.41862188825952,True,3,[]
18,19,"[[""Chaussée d'Antin"", 'Pont de Sèvres', 'Métro 9', '10:00'], ['Versailles', ""Gare d'Austerlitz"", 'RER C', '10:00']]",Navigo Mois,2024-12-01,,"['Lecture', 'Sport']","[[48.87640805036447, 2.31231399736389], [48.82385405095644, 2.338784017130592]]",73.1390113001591,False,2,"[{'id': 'e93b4d6c-7c22-11ef-a50c-0a58a9feac02', 'it_name': 'RER C', 'message': '<p>La gare de Orly Ville n\'est pas desservie jusqu\'à 20h. <br><br>Pour plus d\'informations sur cette perturbation, consultez le <a href=""https://twitter.com/RERC_SNCF"">fil Twitter de la ligne C</a>. <br><br>Motif : conditions météorologiques (fortes pluies /orage).</p>', 'period_begin': '2024-09-26 18:15:37', 'period_end': '2024-09-26 20:00:00'}, {'id': '078563fe-7c26-11ef-a193-0a58a9feac02', 'it_name': 'RER C', 'message': '<p>La gare de Orly Ville n\'est pas desservie jusqu\'&#224; 20h et le trafic est perturb&#233; entre Choisy-le-Roi et Massy-Palaiseau dans les 2 sens. <br><br>Pour plus d\'informations sur cette perturbation, consultez le <a href=""https://twitter.com/RERC_SNCF"">fil Twitter de la ligne C</a>. <br><br>Motif : conditions m&#233;t&#233;orologiques (fortes pluies /orage).</p>', 'period_begin': '2024-09-26 18:38:34', 'period_end': '2024-09-26 20:00:00'}]"
19,20,"[['Denfert-Rochereau', 'Aéroport CDG', 'RER B', '9:30'], ['Nation', 'Trocadéro', 'Métro 6', '9:00']]",Ticket t+,,0.0,"['Lecture', 'Cinéma']","[[48.8734914990657, 2.4146547037161223], [48.85748852439731, 2.27612529065938]]",50.009225925434095,False,5,[]
20,21,"[['Invalides', ""Gare d'Austerlitz"", 'RER C', '6:30'], ['Châtelet', 'Gare du Nord', 'Bus 38', '8:00']]",Navigo Mois,2024-12-01,,"['Voyages', 'Sport']","[[48.89090260209317, 2.2815573431693172], [48.889414730492845, 2.3847294218649018]]",19.659924600902023,False,2,"[{'id': 'e93b4d6c-7c22-11ef-a50c-0a58a9feac02', 'it_name': 'RER C', 'message': '<p>La gare de Orly Ville n\'est pas desservie jusqu\'à 20h. <br><br>Pour plus d\'informations sur cette perturbation, consultez le <a href=""https://twitter.com/RERC_SNCF"">fil Twitter de la ligne C</a>. <br><br>Motif : conditions météorologiques (fortes pluies /orage).</p>', 'period_begin': '2024-09-26 18:15:37', 'period_end': '2024-09-26 20:00:00'}, {'id': '078563fe-7c26-11ef-a193-0a58a9feac02', 'it_name': 'RER C', 'message': '<p>La gare de Orly Ville n\'est pas desservie jusqu\'&#224; 20h et le trafic est perturb&#233; entre Choisy-le-Roi et Massy-Palaiseau dans les 2 sens. <br><br>Pour plus d\'informations sur cette perturbation, consultez le <a href=""https://twitter.com/RERC_SNCF"">fil Twitter de la ligne C</a>. <br><br>Motif : conditions m&#233;t&#233;orologiques (fortes pluies /orage).</p>', 'period_begin': '2024-09-26 18:38:34', 'period_end': '2024-09-26 20:00:00'}]"
21,22,"[[""Gare d'Austerlitz"", 'Versailles', 'RER C', '14:00'], ['Gare du Nord', 'Luxembourg', 'Bus 38', '13:00']]",Navigo Mois,2024-12-01,,"['Art et artisanat', 'Sport']","[[48.84641062879082, 2.3233371092804314], [48.89948922389521, 2.3432594419734984]]",35.046294206600265,False,5,"[{'id': 'e93b4d6c-7c22-11ef-a50c-0a58a9feac02', 'it_name': 'RER C', 'message': '<p>La gare de Orly Ville n\'est pas desservie jusqu\'à 20h. <br><br>Pour plus d\'informations sur cette perturbation, consultez le <a href=""https://twitter.com/RERC_SNCF"">fil Twitter de la ligne C</a>. <br><br>Motif : conditions météorologiques (fortes pluies /orage).</p>', 'period_begin': '2024-09-26 18:15:37', 'period_end': '2024-09-26 20:00:00'}, {'id': '078563fe-7c26-11ef-a193-0a58a9feac02', 'it_name': 'RER C', 'message': '<p>La gare de Orly Ville n\'est pas desservie jusqu\'&#224; 20h et le trafic est perturb&#233; entre Choisy-le-Roi et Massy-Palaiseau dans les 2 sens. <br><br>Pour plus d\'informations sur cette perturbation, consultez le <a href=""https://twitter.com/RERC_SNCF"">fil Twitter de la ligne C</a>. <br><br>Motif : conditions m&#233;t&#233;orologiques (fortes pluies /orage).</p>', 'period_begin': '2024-09-26 18:38:34', 'period_end': '2024-09-26 20:00:00'}]"
22,23,"[['Trocadéro', 'Nation', 'Métro 6', '22:00'], [""Gare d'Austerlitz"", 'La Motte-Picquet', 'Métro 10', '16:00']]",Ticket t+,,0.0,"['Lecture', 'Sport']","[[48.88216992247495, 2.367472590199523], [48.833417651040264, 2.415875926494964]]",85.08968531971622,False,5,[]
23,24,"[['Trocadéro', 'Parc de Saint-Cloud', 'Bus 72', '13:30'], ['Luxembourg', 'Gare du Nord', 'Bus 38', '12:00']]",Navigo Mois,2024-12-01,,"['Cuisine', 'Musique']","[[48.87616932718581, 2.348507899121166], [48.81458377679354, 2.405848293746496]]",108.02758537015308,False,3,[]
24,25,"[['Gare du Nord', ""Porte d'Orléans"", 'Bus 38', '7:30'], ['Gambetta', 'République', 'Métro 3', '9:30']]",Navigo Mois,2024-12-01,,"['Musique', 'Lecture']","[[48.875928788174626, 2.39206026728415], [48.89632883516431, 2.408792797310004]]",81.51160214249069,False,5,[]
25,26,"[['Champs-Elysées', 'Bastille', 'Métro 1', '13:00'], ['Charles de Gaulle - Étoile', 'Anvers', 'Métro 2', '12:00']]",Navigo Mois,2024-12-01,,"['Sport', 'Musique']","[[48.836971559592435, 2.361569861861318], [48.818991183828146, 2.3111069640798076]]",113.23248474922924,False,1,[]
26,27,"[['Nation', 'Concorde', 'Métro 1', '12:00'], ['Trocadéro', 'Parc de Saint-Cloud', 'Bus 72', '10:30']]",Navigo Mois,2024-12-01,,"['Lecture', 'Cinéma']","[[48.82225987621675, 2.302743069210442], [48.881031348795936, 2.3647517637310105]]",56.52945928306316,False,1,[]
27,28,"[['Châtelet', 'Barbès', 'Métro 4', '12:30'], ['Bastille', 'Concorde', 'Métro 1', '18:00']]",Navigo Semaine,2024-11-25,,"['Jeux vidéo', 'Voyages']","[[48.847532942962964, 2.4159442507541207], [48.854145712212585, 2.3625067745578443]]",83.23296528572395,False,4,[]
28,29,"[[""Gare d'Austerlitz"", ""Musée d'Orsay"", 'RER C', '10:00'], ['Invalides', 'Versailles', 'RER C', '7:00']]",Navigo Semaine,2024-11-25,,"['Voyages', 'Jeux vidéo']","[[48.8460869006739, 2.4121691543210106], [48.826624651986926, 2.2550007689227978]]",70.83288790234299,False,2,"[{'id': 'e93b4d6c-7c22-11ef-a50c-0a58a9feac02', 'it_name': 'RER C', 'message': '<p>La gare de Orly Ville n\'est pas desservie jusqu\'à 20h. <br><br>Pour plus d\'informations sur cette perturbation, consultez le <a href=""https://twitter.com/RERC_SNCF"">fil Twitter de la ligne C</a>. <br><br>Motif : conditions météorologiques (fortes pluies /orage).</p>', 'period_begin': '2024-09-26 18:15:37', 'period_end': '2024-09-26 20:00:00'}, {'id': '078563fe-7c26-11ef-a193-0a58a9feac02', 'it_name': 'RER C', 'message': '<p>La gare de Orly Ville n\'est pas desservie jusqu\'&#224; 20h et le trafic est perturb&#233; entre Choisy-le-Roi et Massy-Palaiseau dans les 2 sens. <br><br>Pour plus d\'informations sur cette perturbation, consultez le <a href=""https://twitter.com/RERC_SNCF"">fil Twitter de la ligne C</a>. <br><br>Motif : conditions m&#233;t&#233;orologiques (fortes pluies /orage).</p>', 'period_begin': '2024-09-26 18:38:34', 'period_end': '2024-09-26 20:00:00'}, {'id': 'e93b4d6c-7c22-11ef-a50c-0a58a9feac02', 'it_name': 'RER C', 'message': '<p>La gare de Orly Ville n\'est pas desservie jusqu\'à 20h. <br><br>Pour plus d\'informations sur cette perturbation, consultez le <a href=""https://twitter.com/RERC_SNCF"">fil Twitter de la ligne C</a>. <br><br>Motif : conditions météorologiques (fortes pluies /orage).</p>', 'period_begin': '2024-09-26 18:15:37', 'period_end': '2024-09-26 20:00:00'}, {'id': '078563fe-7c26-11ef-a193-0a58a9feac02', 'it_name': 'RER C', 'message': '<p>La gare de Orly Ville n\'est pas desservie jusqu\'&#224; 20h et le trafic est perturb&#233; entre Choisy-le-Roi et Massy-Palaiseau dans les 2 sens. <br><br>Pour plus d\'informations sur cette perturbation, consultez le <a href=""https://twitter.com/RERC_SNCF"">fil Twitter de la ligne C</a>. <br><br>Motif : conditions m&#233;t&#233;orologiques (fortes pluies /orage).</p>', 'period_begin': '2024-09-26 18:38:34', 'period_end': '2024-09-26 20:00:00'}]"
29,30,"[['Charles de Gaulle - Étoile', 'Montparnasse', 'Métro 6', '11:00'], ['Robinson', 'Aéroport CDG', 'RER B', '5:00']]",Navigo Mois,2024-12-01,,"['Lecture', 'Sport']","[[48.89834722251875, 2.354325443924556], [48.81137252509653, 2.414975620804062]]",111.98260379636078,False,1,[]
30,31,"[['Pont de Levallois', 'Gambetta', 'Métro 3', '18:30'], ['Charles de Gaulle - Étoile', 'Porte Dauphine', 'Métro 2', '14:00']]",Ticket t+,,2.0,"['Cuisine', 'Lecture']","[[48.83120961217785, 2.3567366828845535], [48.86572228134684, 2.3502131885421096]]",92.80198759611534,False,5,[]
31,32,"[['Villejuif', 'Opéra', 'Métro 7', '10:00'], [""Gare d'Austerlitz"", 'Boulogne', 'Métro 10', '13:30']]",Navigo Mois,2024-12-01,,"['Voyages', 'Lecture']","[[48.87578947485921, 2.317936223891512], [48.86783470420727, 2.4024821347027143]]",84.52145644726804,False,4,[]
32,33,"[['Trocadéro', 'Parc de Saint-Cloud', 'Bus 72', '16:00'], ['Charles de Gaulle - Étoile', 'Nation', 'Métro 2', '20:00']]",Navigo Mois,2024-12-01,,"['Cinéma', 'Cuisine']","[[48.848068641396495, 2.4021682080685203], [48.850727725507014, 2.3374586628711365]]",130.82170471242748,False,1,[]
33,34,"[['Champs-Elysées', 'Nation', 'Métro 1', '10:30'], ['Bobigny', ""Place d'Italie"", 'Métro 5', '6:30']]",Navigo Mois,2024-12-01,,"['Sport', 'Cinéma']","[[48.87768186996795, 2.3709571910998473], [48.899350378612496, 2.3299211668144997]]",122.52304742403416,False,1,[]
34,35,"[['Nation', 'Charles de Gaulle - Étoile', 'Métro 2', '7:00'], ['Montparnasse', 'Mairie de Montrouge', 'Métro 4', '7:30']]",Ticket t+,,1.0,"['Voyages', 'Art et artisanat']","[[48.8213356012894, 2.3629311586789323], [48.82031227316534, 2.256456868039093]]",28.25063968087848,False,4,[]
35,36,"[['Saint-Lazare', 'Pont de Levallois', 'Métro 3', '13:00'], ['La Motte-Picquet', 'Boulogne', 'Métro 10', '8:30']]",Ticket t+,,3.0,"['Lecture', 'Art et artisanat']","[[48.896059392410855, 2.31212590892644], [48.838444970290446, 2.2603705582802953]]",103.65836330328037,False,1,[]
36,37,"[['Porte de Clignancourt', 'Châtelet', 'Métro 4', '13:00'], ['Invalides', 'Créteil', 'Métro 8', '21:00']]",Ticket t+,,0.0,"['Sport', 'Art et artisanat']","[[48.85322763423291, 2.3742082000497158], [48.84653699198132, 2.4179385871298993]]",50.28306868765957,False,2,[]
37,38,"[['Invalides', ""Gare d'Austerlitz"", 'RER C', '18:00'], ['Gambetta', 'Opéra', 'Métro 3', '14:30']]",Navigo Mois,2024-12-01,,"['Art et artisanat', 'Musique']","[[48.857182123942664, 2.2717921565515575], [48.833741586145045, 2.261558388456508]]",79.6124186669329,False,3,"[{'id': 'e93b4d6c-7c22-11ef-a50c-0a58a9feac02', 'it_name': 'RER C', 'message': '<p>La gare de Orly Ville n\'est pas desservie jusqu\'à 20h. <br><br>Pour plus d\'informations sur cette perturbation, consultez le <a href=""https://twitter.com/RERC_SNCF"">fil Twitter de la ligne C</a>. <br><br>Motif : conditions météorologiques (fortes pluies /orage).</p>', 'period_begin': '2024-09-26 18:15:37', 'period_end': '2024-09-26 20:00:00'}, {'id': '078563fe-7c26-11ef-a193-0a58a9feac02', 'it_name': 'RER C', 'message': '<p>La gare de Orly Ville n\'est pas desservie jusqu\'&#224; 20h et le trafic est perturb&#233; entre Choisy-le-Roi et Massy-Palaiseau dans les 2 sens. <br><br>Pour plus d\'informations sur cette perturbation, consultez le <a href=""https://twitter.com/RERC_SNCF"">fil Twitter de la ligne C</a>. <br><br>Motif : conditions m&#233;t&#233;orologiques (fortes pluies /orage).</p>', 'period_begin': '2024-09-26 18:38:34', 'period_end': '2024-09-26 20:00:00'}]"
38,39,"[['Champs-Elysées', 'Bastille', 'Métro 1', '6:30'], ['Invalides', 'Bastille', 'Métro 8', '19:00']]",Ticket t+,,2.0,"['Voyages', 'Cinéma']","[[48.872698073470005, 2.3793932427151154], [48.868603903993574, 2.262195178346969]]",53.87797269816484,False,1,[]
39,40,"[['Concorde', 'La Défense', 'Métro 1', '17:30'], ['Champs-Elysées', 'Nation', 'Métro 1', '8:30']]",Ticket t+,,3.0,"['Voyages', 'Technologie et gadgets']","[[48.84252478054595, 2.3548142354837864], [48.820029167725394, 2.372523265860463]]",9.127316532344757,False,5,[]
40,41,"[['Gambetta', 'République', 'Métro 3', '13:30'], ['La Défense', 'Châtelet', 'RER A', '14:00']]",Navigo Semaine,2024-11-25,,"['Lecture', 'Sport']","[[48.85519914812449, 2.378403427825797], [48.891762379154216, 2.315475509942997]]",94.78870096477773,False,3,[]
41,42,"[['Barbès', 'Mairie de Montrouge', 'Métro 4', '17:00'], ['Odéon', ""Gare d'Austerlitz"", 'Métro 10', '17:00']]",Navigo Semaine,2024-11-25,,"['Technologie et gadgets', 'Voyages']","[[48.89103381481917, 2.302477883339222], [48.899259248696076, 2.3006949136618635]]",21.22775114882348,False,3,[]
42,43,"[['Châtelet', 'Barbès', 'Métro 4', '6:00'], ['Bastille', 'République', 'Métro 5', '21:30']]",Navigo Mois,2024-12-01,,"['Cuisine', 'Sport']","[[48.89725486525964, 2.342813467142348], [48.84168267591669, 2.335426683278734]]",128.9598208566414,False,1,[]
43,44,"[['Gare du Nord', 'Luxembourg', 'Bus 38', '10:00'], ['Gare du Nord', 'Denfert-Rochereau', 'RER B', '9:30']]",Navigo Semaine,2024-11-25,,"['Voyages', 'Sport']","[[48.87077083259459, 2.3515404110562574], [48.82322160683489, 2.2619102242495646]]",63.53269413062259,False,3,[]
44,45,"[['Hôtel de Ville', 'Trocadéro', 'Bus 72', '21:30'], ['Trocadéro', 'Hôtel de Ville', 'Bus 72', '8:30']]",Navigo Mois,2024-12-01,,"['Cinéma', 'Musique']","[[48.89783611001913, 2.298001964940297], [48.85523314453828, 2.2754658561095757]]",87.06747847090153,False,3,[]
45,46,"[[""Place d'Italie"", 'Opéra', 'Métro 7', '20:30'], ['Versailles', 'Invalides', 'RER C', '13:00']]",Navigo Mois,2024-12-01,,"['Cuisine', 'Voyages']","[[48.816277088636376, 2.395161942044446], [48.88458149307564, 2.4043628811341056]]",97.26431157390361,False,2,"[{'id': 'e93b4d6c-7c22-11ef-a50c-0a58a9feac02', 'it_name': 'RER C', 'message': '<p>La gare de Orly Ville n\'est pas desservie jusqu\'à 20h. <br><br>Pour plus d\'informations sur cette perturbation, consultez le <a href=""https://twitter.com/RERC_SNCF"">fil Twitter de la ligne C</a>. <br><br>Motif : conditions météorologiques (fortes pluies /orage).</p>', 'period_begin': '2024-09-26 18:15:37', 'period_end': '2024-09-26 20:00:00'}, {'id': '078563fe-7c26-11ef-a193-0a58a9feac02', 'it_name': 'RER C', 'message': '<p>La gare de Orly Ville n\'est pas desservie jusqu\'&#224; 20h et le trafic est perturb&#233; entre Choisy-le-Roi et Massy-Palaiseau dans les 2 sens. <br><br>Pour plus d\'informations sur cette perturbation, consultez le <a href=""https://twitter.com/RERC_SNCF"">fil Twitter de la ligne C</a>. <br><br>Motif : conditions m&#233;t&#233;orologiques (fortes pluies /orage).</p>', 'period_begin': '2024-09-26 18:38:34', 'period_end': '2024-09-26 20:00:00'}]"
46,47,"[['Bobigny', 'République', 'Métro 5', '11:00'], ['Pont de Levallois', 'Opéra', 'Métro 3', '17:30']]",Ticket t+,,2.0,"['Cuisine', 'Sport']","[[48.835591071865146, 2.250631988713877], [48.81797490902963, 2.313526717027399]]",86.79940855328353,False,1,[]
47,48,"[['Balard', 'Créteil', 'Métro 8', '15:30'], ['Châtelet', ""Porte d'Orléans"", 'Bus 38', '9:00']]",Navigo Mois,2024-12-01,,"['Cinéma', 'Voyages']","[[48.86348489246069, 2.396132872691577], [48.83056606459765, 2.303262910489538]]",70.14286097132556,False,3,[]
48,49,"[['Pont de Sèvres', 'République', 'Métro 9', '7:30'], ['Robinson', 'Châtelet', 'RER B', '9:30']]",Ticket t+,,1.0,"['Jeux vidéo', 'Cinéma']","[[48.83250105483189, 2.3999166261741443], [48.830167733708336, 2.3257966907411145]]",49.543831508250555,False,3,[]
49,50,"[[""Gare de l'Est"", 'Opéra', 'Métro 7', '10:00'], [""Place d'Italie"", 'Villejuif', 'Métro 7', '11:00']]",Navigo Semaine,2024-11-25,,"['Technologie et gadgets', 'Musique']","[[48.860191668556325, 2.27023997505688], [48.89586511214937, 2.2865692253778156]]",97.47987242309623,False,2,[]
50,51,"[[""Gare d'Austerlitz"", 'Boulogne', 'Métro 10', '5:00'], [""Gare d'Austerlitz"", ""Musée d'Orsay"", 'RER C', '14:00']]",Navigo Semaine,2024-11-25,,"['Jeux vidéo', 'Cuisine']","[[48.86584361528685, 2.33339003827746], [48.83979283257334, 2.370350541117194]]",118.71556761674353,False,3,"[{'id': 'e93b4d6c-7c22-11ef-a50c-0a58a9feac02', 'it_name': 'RER C', 'message': '<p>La gare de Orly Ville n\'est pas desservie jusqu\'à 20h. <br><br>Pour plus d\'informations sur cette perturbation, consultez le <a href=""https://twitter.com/RERC_SNCF"">fil Twitter de la ligne C</a>. <br><br>Motif : conditions météorologiques (fortes pluies /orage).</p>', 'period_begin': '2024-09-26 18:15:37', 'period_end': '2024-09-26 20:00:00'}, {'id': '078563fe-7c26-11ef-a193-0a58a9feac02', 'it_name': 'RER C', 'message': '<p>La gare de Orly Ville n\'est pas desservie jusqu\'&#224; 20h et le trafic est perturb&#233; entre Choisy-le-Roi et Massy-Palaiseau dans les 2 sens. <br><br>Pour plus d\'informations sur cette perturbation, consultez le <a href=""https://twitter.com/RERC_SNCF"">fil Twitter de la ligne C</a>. <br><br>Motif : conditions m&#233;t&#233;orologiques (fortes pluies /orage).</p>', 'period_begin': '2024-09-26 18:38:34', 'period_end': '2024-09-26 20:00:00'}]"
51,52,"[['Nation', 'Concorde', 'Métro 1', '22:30'], ['Nation', 'Charles de Gaulle - Étoile', 'RER A', '5:30']]",Navigo Semaine,2024-11-25,,"['Sport', 'Cuisine']","[[48.812045700508, 2.360689151642357], [48.82745379079748, 2.3863062505656045]]",135.18543849351533,False,5,[]
52,53,"[['Robinson', 'Gare du Nord', 'RER B', '15:30'], ['Châtelet', 'Mairie de Montrouge', 'Métro 4', '8:30']]",Navigo Mois,2024-12-01,,"['Jeux vidéo', 'Musique']","[[48.86772128261003, 2.322504801823474], [48.85417555464607, 2.367024849468783]]",87.32195101334263,False,1,[]
53,54,"[['Odéon', 'Boulogne', 'Métro 10', '18:30'], ['Versailles', ""Musée d'Orsay"", 'RER C', '9:30']]",Ticket t+,,2.0,"['Cuisine', 'Musique']","[[48.86899122080764, 2.3294467478082383], [48.85370085356905, 2.313694621561903]]",29.208146618495494,False,2,"[{'id': 'e93b4d6c-7c22-11ef-a50c-0a58a9feac02', 'it_name': 'RER C', 'message': '<p>La gare de Orly Ville n\'est pas desservie jusqu\'à 20h. <br><br>Pour plus d\'informations sur cette perturbation, consultez le <a href=""https://twitter.com/RERC_SNCF"">fil Twitter de la ligne C</a>. <br><br>Motif : conditions météorologiques (fortes pluies /orage).</p>', 'period_begin': '2024-09-26 18:15:37', 'period_end': '2024-09-26 20:00:00'}, {'id': '078563fe-7c26-11ef-a193-0a58a9feac02', 'it_name': 'RER C', 'message': '<p>La gare de Orly Ville n\'est pas desservie jusqu\'&#224; 20h et le trafic est perturb&#233; entre Choisy-le-Roi et Massy-Palaiseau dans les 2 sens. <br><br>Pour plus d\'informations sur cette perturbation, consultez le <a href=""https://twitter.com/RERC_SNCF"">fil Twitter de la ligne C</a>. <br><br>Motif : conditions m&#233;t&#233;orologiques (fortes pluies /orage).</p>', 'period_begin': '2024-09-26 18:38:34', 'period_end': '2024-09-26 20:00:00'}]"
54,55,"[['Trocadéro', 'Nation', 'Métro 6', '15:00'], ['Charles de Gaulle - Étoile', 'Nation', 'Métro 6', '15:30']]",Ticket t+,,2.0,"['Jeux vidéo', 'Lecture']","[[48.88664020476744, 2.388027293501453], [48.84447616003397, 2.4187232947844692]]",45.2545596181782,False,5,[]
