user_id;trajets;billettique_type;billettique_end_date;billettique_tickets_left;centres d'intérêts;lieux favoris;km de marche dans les 90 derniers jours;PMR;intérêt événements
39;[['Créteil', 'Balard', 'Métro 8', '13:00'], ['Pont de Levallois', 'Saint-Lazare', 'Métro 3', '12:30']];Navigo Mois;2024-12-01;;['Jeux vidéo', 'Cuisine'];[[48.82829501833543, 2.4020175658016676], [48.894794243790585, 2.3337713548305343]];101.2400356019337;False;5
40;[['La Défense', 'Bastille', 'Métro 1', '12:00'], ['Hôtel de Ville', 'Trocadéro', 'Bus 72', '13:00']];Ticket t+;;3.0;['Sport', 'Lecture'];[[48.83496200294355, 2.3387398895844993], [48.84455917468972, 2.2652316079306027]];88.44176484385373;False;5
41;[['Gare du Nord', 'Châtelet', 'Bus 38', '21:00'], ['Aéroport CDG', 'Gare du Nord', 'RER B', '13:30']];Navigo Mois;2024-12-01;;['Sport', 'Jeux vidéo'];[[48.88997211102675, 2.2703385114300385], [48.86793300628429, 2.2994084076105246]];70.81983298385657;False;5
42;[['Trocadéro', 'République', 'Métro 9', '18:30'], ['Châtelet', 'Barbès', 'Métro 4', '7:30']];Ticket t+;;2.0;['Voyages', 'Musique'];[[48.8727454326495, 2.3578834771068253], [48.87235946971859, 2.3829255836190257]];153.0709753989598;False;4
43;[['Montparnasse', 'Mairie de Montrouge', 'Métro 4', '17:00'], ['Nation', 'Montparnasse', 'Métro 6', '12:30']];Ticket t+;;3.0;['Cinéma', 'Sport'];[[48.88010676178339, 2.3951080685672275], [48.87480760258445, 2.3877094609356435]];32.24352347729281;False;4
44;[['Hôtel de Ville', 'Parc de Saint-Cloud', 'Bus 72', '21:00'], ['Trocadéro', 'République', 'Métro 9', '9:00']];Ticket t+;;0.0;['Sport', 'Randonnée et nature'];[[48.83823650913065, 2.3160180961114984], [48.8576459092732, 2.3470103241652573]];48.014006552408574;False;3
45;[['Balard', 'Opéra', 'Métro 8', '10:30'], ['Bobigny', 'Bastille', 'Métro 5', '21:30']];Navigo Mois;2024-12-01;;['Randonnée et nature', 'Cinéma'];[[48.83215484670404, 2.363529876761277], [48.86842511153403, 2.2732929979205108]];89.72557433260275;False;3
46;[['Mairie de Montreuil', 'République', 'Métro 9', '11:30'], ['Robinson', 'Châtelet', 'RER B', '17:00']];Navigo Semaine;2024-11-25;;['Lecture', 'Sport'];[[48.85521568284275, 2.3987127567837003], [48.88783620700109, 2.411212308652384]];113.56037066505209;False;5
47;[['Barbès', 'Châtelet', 'Métro 4', '22:30'], ['Anvers', 'Porte Dauphine', 'Métro 2', '14:30']];Navigo Mois;2024-12-01;;['Musique', 'Sport'];[[48.87307156571107, 2.3614868074377804], [48.881725027456596, 2.324452470153117]];116.22600699590042;False;2
48;[['Pont de Levallois', 'République', 'Métro 3', '6:30'], ['Montparnasse', 'Châtelet', 'Métro 4', '21:30']];Navigo Mois;2024-12-01;;['Musique', 'Voyages'];[[48.820731795684054, 2.292288654464679], [48.85182972932947, 2.388021543633298]];128.15722693289567;False;3
49;[['Concorde', 'Nation', 'Métro 1', '13:00'], ['Champs-Elysées', 'La Défense', 'Métro 1', '22:30']];Navigo Semaine;2024-11-25;;['Voyages', 'Sport'];[[48.85883354018717, 2.259960981841257], [48.86627723301912, 2.266634342288477]];113.84473872770961;False;3
50;[['Mairie de Montrouge', 'Châtelet', 'Métro 4', '5:00'], ['Aéroport CDG', 'Châtelet', 'RER B', '17:00']];Navigo Semaine;2024-11-25;;['Cinéma', 'Cuisine'];[[48.823340241970236, 2.3100903457158823], [48.828693427111844, 2.269134555146965]];89.26899105912553;False;3
51;"[['La Courneuve', ""Gare de l'Est"", 'Métro 7', '20:00'], ['La Défense', 'Marne-la-Vallée', 'RER A', '7:00']]";Navigo Semaine;2024-11-25;;['Musique', 'Voyages'];[[48.866911221177304, 2.3917492433824608], [48.838976004183976, 2.351100269454789]];18.718754553156327;False;3
52;[['La Défense', 'Nation', 'RER A', '6:00'], ['Odéon', 'Boulogne', 'Métro 10', '19:00']];Ticket t+;;0.0;['Sport', 'Voyages'];[[48.87337888482435, 2.2622528589314914], [48.81196828188284, 2.2796633012300442]];65.99539111004118;False;1
53;"[['Barbès', 'Mairie de Montrouge', 'Métro 4', '19:30'], ['La Motte-Picquet', ""Gare d'Austerlitz"", 'Métro 10', '21:30']]";Navigo Mois;2024-12-01;;['Musique', 'Voyages'];[[48.879005433742655, 2.3561229732145534], [48.89323195063223, 2.346950838167568]];88.32255181071413;False;3
54;[['Nation', 'Bastille', 'Métro 1', '18:00'], ['Châtelet', 'Gare du Nord', 'RER B', '12:00']];Ticket t+;;0.0;['Randonnée et nature', 'Lecture'];[[48.89073805241969, 2.320811590167009], [48.86549844113324, 2.351950293493338]];99.16531870267937;False;1
55;[['République', 'Pont de Levallois', 'Métro 3', '20:00'], ['Gare du Nord', 'Luxembourg', 'Bus 38', '17:30']];Navigo Semaine;2024-11-25;;['Cinéma', 'Sport'];[[48.864533796439744, 2.3657721992750282], [48.8410228789025, 2.36226865555834]];74.61079244759779;False;1
56;[['Pont de Sèvres', 'Trocadéro', 'Métro 9', '16:30'], ['Montparnasse', 'Barbès', 'Métro 4', '10:30']];Navigo Mois;2024-12-01;;['Technologie et gadgets', 'Musique'];[[48.870549851272976, 2.270588559489265], [48.82923817997459, 2.339596726434981]];83.95641537292842;False;1
57;[['Invalides', 'Opéra', 'Métro 8', '8:00'], ['Bastille', 'Nation', 'Métro 1', '19:30']];Ticket t+;;1.0;['Art et artisanat', 'Cuisine'];[[48.83962512564187, 2.3201522076408345], [48.84625385628714, 2.3893528538517566]];79.7096407389392;False;5
58;[['République', 'Bastille', 'Métro 5', '21:30'], ['Boulogne', 'La Motte-Picquet', 'Métro 10', '20:00']];Navigo Mois;2024-12-01;;['Voyages', 'Musique'];[[48.81625916259954, 2.378563358448288], [48.82439233782593, 2.2946803524371413]];98.7027008335095;False;1
59;"[['Invalides', ""Musée d'Orsay"", 'RER C', '7:00'], [""Musée d'Orsay"", 'Versailles', 'RER C', '19:00']]";Navigo Mois;2024-12-01;;['Technologie et gadgets', 'Voyages'];[[48.823668903740845, 2.2611646730017054], [48.84636487002374, 2.3690936523538633]];67.69477989364725;False;5
60;"[['Versailles', ""Musée d'Orsay"", 'RER C', '12:30'], ['Nation', 'La Défense', 'Métro 1', '18:00']]";Navigo Mois;2024-12-01;;['Musique', 'Lecture'];[[48.87387703379852, 2.3531605787239207], [48.81327148070534, 2.3329934704489235]];34.42825215932445;False;2
61;"[['Marne-la-Vallée', 'Châtelet', 'RER A', '14:00'], ['La Courneuve', ""Gare de l'Est"", 'Métro 7', '7:30']]";Navigo Mois;2024-12-01;;['Voyages', 'Sport'];[[48.875259868489685, 2.368446257479251], [48.89668167468323, 2.297795927856387]];22.846552732210455;False;4
62;[['Trocadéro', 'République', 'Métro 9', '17:30'], ['La Défense', 'Concorde', 'Métro 1', '18:00']];Navigo Semaine;2024-11-25;;['Cinéma', 'Cuisine'];[[48.896537369379104, 2.310861613645953], [48.84247256728525, 2.3143078315180894]];25.478298778820662;False;1
63;[['Luxembourg', 'Gare du Nord', 'Bus 38', '18:30'], ['Champs-Elysées', 'Bastille', 'Métro 1', '18:30']];Ticket t+;;1.0;['Voyages', 'Musique'];[[48.82832978805676, 2.2746744549562754], [48.85362769637875, 2.3130421769802676]];54.14915303498987;False;2
64;[['Charles de Gaulle - Étoile', 'Nation', 'RER A', '8:00'], ['Invalides', 'Versailles', 'RER C', '5:00']];Navigo Mois;2024-12-01;;['Sport', 'Cuisine'];[[48.88438747173942, 2.3515505912861956], [48.84379107120729, 2.344430676908689]];105.91353625837964;False;3
65;"[['Trocadéro', 'Parc de Saint-Cloud', 'Bus 72', '17:00'], ['Villejuif', ""Gare de l'Est"", 'Métro 7', '14:30']]";Navigo Mois;2024-12-01;;['Randonnée et nature', 'Sport'];[[48.84217933819701, 2.3085280395621326], [48.87921494019852, 2.355831798395361]];128.76203683043664;False;2
66;[['Hôtel de Ville', 'Trocadéro', 'Bus 72', '14:30'], ['La Courneuve', 'Opéra', 'Métro 7', '9:30']];Navigo Mois;2024-12-01;;['Lecture', 'Voyages'];[[48.825373871886924, 2.3402648701206923], [48.8196967761671, 2.3310014220554574]];106.49112438210724;False;5
67;[['République', 'Bastille', 'Métro 5', '17:00'], ['République', 'Bastille', 'Métro 5', '17:30']];Navigo Semaine;2024-11-25;;['Cinéma', 'Randonnée et nature'];[[48.8452656852877, 2.2727801151582585], [48.834308443660404, 2.3552165858973617]];112.13348479469754;False;3
68;[['Charles de Gaulle - Étoile', 'Nation', 'Métro 6', '5:00'], ['Pont de Sèvres', 'Trocadéro', 'Métro 9', '21:00']];Navigo Semaine;2024-11-25;;['Voyages', 'Cinéma'];[[48.8957785444616, 2.3609868143122035], [48.86341002597803, 2.385523302164952]];19.394477897636037;False;2
69;"[['Luxembourg', ""Porte d'Orléans"", 'Bus 38', '16:00'], ['Invalides', ""Gare d'Austerlitz"", 'RER C', '20:30']]";Navigo Mois;2024-12-01;;['Sport', 'Lecture'];[[48.89340022156281, 2.4198175038066823], [48.859056684575215, 2.255274715863474]];83.58863830266824;False;4
70;"[['Marne-la-Vallée', 'Châtelet', 'RER A', '19:30'], [""Gare d'Austerlitz"", 'Invalides', 'RER C', '22:30']]";Navigo Semaine;2024-11-25;;['Voyages', 'Cuisine'];[[48.81818540955529, 2.3637694356716796], [48.87542576322189, 2.4136896704336364]];75.68056617225979;False;1
71;[['Nation', 'Montparnasse', 'Métro 6', '17:30'], ['Charles de Gaulle - Étoile', 'Marne-la-Vallée', 'RER A', '6:00']];Navigo Mois;2024-12-01;;['Randonnée et nature', 'Voyages'];[[48.86964342654258, 2.4113757602540233], [48.873782392208994, 2.286502288024423]];43.60470375032947;False;2
72;[['Invalides', 'Bastille', 'Métro 8', '13:30'], ['Châtelet', 'Barbès', 'Métro 4', '9:00']];Navigo Semaine;2024-11-25;;['Musique', 'Sport'];[[48.816112306341076, 2.418570075393934], [48.899601328921634, 2.2978786566484204]];141.36541108933852;False;1
73;[['Concorde', 'Nation', 'Métro 1', '7:00'], ['Hôtel de Ville', 'Parc de Saint-Cloud', 'Bus 72', '11:30']];Ticket t+;;0.0;['Musique', 'Randonnée et nature'];[[48.83930257306985, 2.3783084620578157], [48.81702402751776, 2.299390620995028]];32.500678223600936;False;1
74;"[['République', ""Place d'Italie"", 'Métro 5', '10:30'], ['Montparnasse', 'Nation', 'Métro 6', '8:00']]";Navigo Mois;2024-12-01;;['Randonnée et nature', 'Jeux vidéo'];[[48.83342560311236, 2.3952346391138137], [48.89735215464928, 2.3333434432830154]];137.61949173567135;False;2
75;[['Opéra', 'Saint-Lazare', 'Métro 3', '12:30'], ['Robinson', 'Châtelet', 'RER B', '7:00']];Navigo Mois;2024-12-01;;['Voyages', 'Sport'];[[48.81643841026124, 2.2569533884379096], [48.8866882039723, 2.3359201586681584]];43.50984565737754;False;5
76;"[['Boulogne', 'La Motte-Picquet', 'Métro 10', '18:30'], ['République', ""Chaussée d'Antin"", 'Métro 9', '5:00']]";Ticket t+;;0.0;['Jeux vidéo', 'Voyages'];[[48.878261257543905, 2.2720480920017945], [48.82189376930634, 2.353921675237072]];68.11185744310424;False;3
77;[['Nation', 'Bastille', 'Métro 1', '19:00'], ['Nation', 'Champs-Elysées', 'Métro 1', '14:30']];Navigo Mois;2024-12-01;;['Voyages', 'Musique'];[[48.89891574723301, 2.399927536573527], [48.822424493484704, 2.4083531961527807]];91.34696294248464;False;3
78;[['Saint-Lazare', 'République', 'Métro 3', '5:30'], ['Anvers', 'Nation', 'Métro 2', '21:30']];Ticket t+;;4.0;['Art et artisanat', 'Cinéma'];[[48.86125928663351, 2.3622382649041134], [48.84380320815633, 2.410451667869702]];127.32416920661072;False;2
79;[['Châtelet', 'Denfert-Rochereau', 'RER B', '14:00'], ['Porte de Clignancourt', 'Châtelet', 'Métro 4', '21:00']];Navigo Semaine;2024-11-25;;['Cinéma', 'Voyages'];[[48.84748426326302, 2.3451731291511893], [48.82107979796635, 2.2596279749543013]];110.72148573882878;False;2
80;"[['Invalides', ""Musée d'Orsay"", 'RER C', '17:30'], ['La Défense', 'Concorde', 'Métro 1', '20:00']]";Navigo Semaine;2024-11-25;;['Sport', 'Voyages'];[[48.857082640346164, 2.3774195727048286], [48.852088432096544, 2.3269610487658228]];27.245875676297494;False;2
81;"[[""Place d'Italie"", 'Bastille', 'Métro 5', '6:30'], ['Nation', 'Anvers', 'Métro 2', '10:00']]";Ticket t+;;3.0;['Sport', 'Cuisine'];[[48.83753673959117, 2.2893679178078825], [48.824937184405805, 2.262660480662402]];96.45526989192777;False;3
82;[['Montparnasse', 'Trocadéro', 'Métro 6', '20:30'], ['Champs-Elysées', 'Bastille', 'Métro 1', '13:30']];Navigo Semaine;2024-11-25;;['Sport', 'Lecture'];[[48.89824752747303, 2.2700816389537164], [48.8333852628808, 2.3697913661092476]];108.66576651885069;False;1
83;"[['La Défense', 'Châtelet', 'RER A', '11:00'], ['Odéon', ""Gare d'Austerlitz"", 'Métro 10', '19:00']]";Ticket t+;;2.0;['Art et artisanat', 'Sport'];[[48.86318736143123, 2.2727894135255395], [48.86575837135742, 2.255497951646553]];5.0;False;3
84;"[['Odéon', ""Gare d'Austerlitz"", 'Métro 10', '13:00'], ['Luxembourg', 'Châtelet', 'Bus 38', '17:30']]";Ticket t+;;0.0;['Voyages', 'Sport'];[[48.86580664781061, 2.408853998196814], [48.82443279434104, 2.2546949929960074]];111.5205690945516;False;1
85;"[['Invalides', ""Gare d'Austerlitz"", 'RER C', '13:00'], ['Mairie de Montreuil', 'République', 'Métro 9', '15:00']]";Ticket t+;;2.0;['Sport', 'Lecture'];[[48.877803886308904, 2.355209648284207], [48.84605963464009, 2.2789774153693565]];35.366964167149675;False;5
86;[['Bastille', 'Balard', 'Métro 8', '6:00'], ['Charles de Gaulle - Étoile', 'Trocadéro', 'Métro 6', '22:00']];Navigo Semaine;2024-11-25;;['Voyages', 'Sport'];[[48.85073374695056, 2.277893408285742], [48.87756946519002, 2.3600807393285113]];19.08828158905684;False;1
87;[['Montparnasse', 'Nation', 'Métro 6', '21:00'], ['Concorde', 'La Défense', 'Métro 1', '12:30']];Ticket t+;;2.0;['Cuisine', 'Jeux vidéo'];[[48.81036351063066, 2.2941755909489876], [48.85008190550495, 2.3992003633164027]];77.49963361751755;False;4
88;[['La Défense', 'Charles de Gaulle - Étoile', 'RER A', '6:30'], ['Châtelet', 'Robinson', 'RER B', '13:30']];Ticket t+;;4.0;['Sport', 'Voyages'];[[48.827431445748466, 2.3378081212768924], [48.88427574562233, 2.2873109859372316]];99.81037216958232;False;2
89;"[['Pont de Levallois', 'Saint-Lazare', 'Métro 3', '19:30'], ['Villejuif', ""Place d'Italie"", 'Métro 7', '5:30']]";Navigo Mois;2024-12-01;;['Sport', 'Cinéma'];[[48.84541806122525, 2.419379105774202], [48.8974237507899, 2.3270158642715764]];117.12913083490288;False;5
90;[['Opéra', 'Saint-Lazare', 'Métro 3', '18:30'], ['Nation', 'Anvers', 'Métro 2', '5:00']];Navigo Semaine;2024-11-25;;['Jeux vidéo', 'Technologie et gadgets'];[[48.89187380068808, 2.339441119003662], [48.86686306972971, 2.2842318642947577]];125.70561226982989;False;2
91;[['Montparnasse', 'Porte de Clignancourt', 'Métro 4', '6:30'], ['Châtelet', 'Denfert-Rochereau', 'RER B', '9:30']];Ticket t+;;0.0;['Sport', 'Lecture'];[[48.83556983341022, 2.394477180038389], [48.843570196507656, 2.3942257125678084]];97.33325051319935;False;2
92;"[[""Gare de l'Est"", 'Opéra', 'Métro 7', '20:00'], ['Boulogne', 'La Motte-Picquet', 'Métro 10', '22:30']]";Navigo Mois;2024-12-01;;['Jeux vidéo', 'Musique'];[[48.830235535463075, 2.257633366579532], [48.82365270237249, 2.2720077004419044]];57.46421655102923;False;3
93;"[['Villejuif', ""Place d'Italie"", 'Métro 7', '16:30'], ['Boulogne', 'La Motte-Picquet', 'Métro 10', '9:30']]";Ticket t+;;2.0;['Cuisine', 'Cinéma'];[[48.812412305675856, 2.3416354261032657], [48.86338474395734, 2.278955883656195]];74.13675737312984;False;3
